No,Provinsi,Kota_Kabupaten,Latitude,Longitude,Zone_UTM
1,Aceh,Tapaktuan,3.266667,97.183333,47 N
2,-,Kutacane,3.5,97.816667,47 N
3,-,Meulaboh,4.15,96.133333,47 N
4,-,Langsa,4.483333,97.966667,47 N
5,-,Takengon,4.633333,96.85,47 N
6,-,Lhokseumawe,5.183333,97.15,47 N
7,-,Sigli,5.4,95.966667,46 N
8,Sumatera Utara,Padangsidempuan,1.383333,99.283333,47 N
9,-,Sibolga,1.75,98.783333,47 N
10,-,Tarutung,2.016667,98.983333,47 N
11,-,Barus,2.016667,98.416667,47 N
12,-,Rantauprapat,2.1,99.833333,47 N
13,-,Sidikalang,2.75,98.316667,47 N
14,-,Tanjung Balai,2.966667,99.816667,47 N
15,-,Pematangsiantar,2.966667,99.066667,47 N
16,-,Kisaran,2.983333,99.633333,47 N
17,-,Kabanjahe,3.116667,98.5,47 N
18,-,Tebing Tinggi,3.333333,99.166667,47 N
19,-,Binjai,3.616667,98.5,47 N
20,Sumatera Barat,Painan,-1.35,100.583333,47 S
21,-,Solok,-0.8,100.666667,47 S
22,-,Sawahlunto,-0.683333,100.783333,47 S
23,-,Pariaman,-0.633333,100.133333,47 S
24,-,Padang Panjang,-0.466667,100.4,47 S
25,-,Batusangkar,-0.466667,100.6,47 S
26,-,Bukit Tinggi,-0.316667,100.383333,47 S
27,-,Payakumbuh,-0.233333,100.633333,47 S
28,-,Lubuksikaping,0.133333,100.183333,47 N
29,Sumatera Selatan,Martapura,-4.333333,104.35,48 S
30,-,Baturaja,-4.133333,104.183333,48 S
31,-,Lahat,-3.8,103.55,48 S
32,-,Prabumulih,-3.45,104.25,48 S
33,-,Kayuagung,-3.4,104.85,48 S
34,-,Lubuklinggau,-3.3,102.866667,48 S
35,-,Plaju,-3.0,104.816667,48 S
36,-,Toboali,-3.016667,106.466667,48 S
37,-,Sungai Gerong,-3.0,104.85,48 S
38,-,Tanjungpandan,-2.733333,107.633333,48 S
39,-,Pangkalpinang,-2.133333,106.116667,48 S
40,-,Sungai Liat,-1.866667,106.133333,48 S
41,-,Belinyu,-1.65,105.783333,48 S
42,Riau,Rengat,-0.383333,102.533333,48 S
43,-,Tembilahan,-0.316667,103.166667,48 S
44,-,Bangkinang,0.35,101.033333,47 N
45,-,Tanjung Pinang,0.933333,104.45,48 N
46,-,Bengkalis,1.483333,102.1,48 N
47,-,Dumai,1.683333,101.45,47 N
48,-,Bagasiapiapi,2.166667,100.816667,47 N
49,Jambi,Sungai Penuh,-2.066667,101.4,47 S
50,-,Ranjaupanjang,-1.866667,102.316667,48 S
51,-,Muaratembesi,-1.733333,103.116667,48 S
52,-,Muara Bungo,-1.5,102.133333,48 S
53,-,Kualatungkal,-0.816667,103.483333,48 S
54,Bengkulu,Manna,-4.483333,102.916667,48 S
55,-,Curup,-3.466667,102.533333,48 S
56,Lampung,Panjang,-5.483333,105.333333,48 S
57,-,Metro,-5.116667,105.316667,48 S
58,-,Liwa,-5.033333,104.083333,48 S
59,-,Kotabumi,-4.833333,104.883333,48 S
60,Jawa Barat,Tasikmalaya,-7.333333,108.233333,49 S
61,-,Ciamis,-7.333333,108.366667,49 S
62,-,Garut,-7.233333,107.9,48 S
63,-,Kuningan,-6.983333,108.483333,49 S
64,-,Sukabumi,-6.933333,106.933333,48 S
65,-,Sumedang,-6.866667,107.933333,48 S
66,-,Majalengka,-6.85,108.233333,49 S
67,-,Cianjur,-6.816667,107.15,48 S
68,-,Cirebon,-6.733333,108.566667,49 S
69,-,Bogor,-6.6,106.816667,48 S
70,-,Subang,-6.566667,107.783333,48 S
71,-,Purwakarta,-6.55,107.45,48 S
72,-,Indramayu,-6.333333,108.333333,49 S
73,-,Karawang,-6.3,107.316667,48 S
74,-,Bekasi,-6.25,107.016667,48 S
75,Jawa Tengah,Wonogiri,-7.833333,110.933333,49 S
76,-,Cilacap,-7.733333,109.016667,49 S
77,-,Purworejo,-7.716667,110.016667,49 S
78,-,Klaten,-7.716667,110.616667,49 S
79,-,Kebumen,-7.683333,109.666667,49 S
80,-,Sukoharjo,-7.7,110.85,49 S
81,-,Karanganyar,-7.6,110.95,49 S
82,-,Surakarta,-7.566667,110.816667,49 S
83,-,Boyolali,-7.533333,110.6,49 S
84,-,Banyumas,-7.516667,109.3,49 S
85,-,Magelang,-7.5,110.233333,49 S
86,-,Purwokerto,-7.433333,109.233333,49 S
87,-,Sragen,-7.433333,111.033333,49 S
88,-,Banjarnegara,-7.4,109.7,49 S
89,-,Purbolinggo,-7.4,109.366667,49 S
90,-,Wonosobo,-7.366667,109.916667,49 S
91,-,Salatiga,-7.333333,110.516667,49 S
92,-,Temanggung,-7.316667,110.183333,49 S
93,-,Ungaran,-7.133333,110.416667,49 S
94,-,Purwodadi,-7.083333,110.916667,49 S
95,-,Blora,-6.983333,111.433333,49 S
96,-,Kendal,-6.933333,110.2,49 S
97,-,Batang,-6.916667,109.733333,49 S
98,-,Pemalang,-6.9,109.383333,49 S
99,-,Pekalongan,-6.9,109.683333,49 S
100,-,Demak,-6.9,110.65,49 S
101,-,Tegal,-6.883333,109.133333,49 S
102,-,Brebes,-6.866667,109.05,49 S
103,-,Kudus,-6.816667,110.85,49 S
104,-,Pati,-6.766667,111.05,49 S
105,-,Rembang,-6.716667,111.35,49 S
106,-,Jepara,-6.6,110.683333,49 S
107,Jawa Timur,Pacitan,-8.216667,111.116667,49 S
108,-,Banyuwangi,-8.216667,114.383333,50 S
109,-,Jember,-8.183333,113.7,49 S
110,-,Lumajang,-8.133333,113.233333,49 S
111,-,Blitar,-8.116667,112.166667,49 S
112,-,Tulungagung,-8.083333,111.916667,49 S
113,-,Trenggalek,-8.066667,111.716667,49 S
114,-,Malang,-7.983333,112.633333,49 S
115,-,Bondowoso,-7.916667,113.833333,49 S
116,-,Ponorogo,-7.866667,111.483333,49 S
117,-,Kediri,-7.833333,112.033333,49 S
118,-,Probolinggo,-7.766667,113.216667,49 S
119,-,Besuki,-7.75,113.7,49 S
120,-,Situbondo,-7.716667,114.016667,50 S
121,-,Magetan,-7.666667,111.333333,49 S
122,-,Pasuruan,-7.666667,112.9,49 S
123,-,Madiun,-7.65,111.533333,49 S
124,-,Nganjuk,-7.616667,111.9,49 S
125,-,Jombang,-7.55,112.233333,49 S
126,-,Mojokerto,-7.483333,112.45,49 S
127,-,Sidoarjo,-7.466667,112.733333,49 S
128,-,Ngawi,-7.416667,111.45,49 S
129,-,Sampang,-7.2,113.25,49 S
130,-,Gresik,-7.166667,112.666667,49 S
131,-,Bojonegoro,-7.166667,111.9,49 S
132,-,Pamekasan,-7.166667,113.483333,49 S
133,-,Lamongan,-7.133333,112.416667,49 S
134,-,Bangkalan,-7.05,112.75,49 S
135,-,Sumenep,-7.016667,113.866667,49 S
136,-,Tuban,-6.9,112.066667,49 S
137,Yogyakarta,Wonosari,-7.966667,110.6,49 S
138,-,Bantul,-7.9,110.366667,49 S
139,-,Wates,-7.85,110.183333,49 S
140,-,Sleman,-7.7,110.35,49 S
141,Kalimantan Barat,Ketapang,-1.866667,109.983333,49 S
142,-,Sintang,0.083333,111.5,49 N
143,-,Sangau,0.133333,110.6,49 N
144,-,Putussibau,0.883333,112.933333,49 N
145,-,Singkawang,0.916667,108.999999,49 N
146,-,Sambas,1.366667,109.316667,49 N
147,Kalimantan Tengah,Kualakapuas,-3.016667,114.383333,50 S
148,-,Pangkalanbun,-2.7,111.633333,49 S
149,-,Sampit,-2.55,112.966667,49 S
150,-,Buntok,-1.733333,114.85,50 S
151,-,Muara Teweh,-0.95,114.916667,50 S
152,-,Puruk Cahu,-0.633333,114.566667,50 S
153,Kalimantan Timur,Tanah Grogot,-1.916667,116.2,50 S
154,-,Balikpapan,-1.25,116.833333,50 S
155,-,Tenggarong,-0.416667,116.983333,50 S
156,-,Tanjungredeb,2.15,117.5,50 N
157,-,Tanjung Selor,2.85,117.366667,50 N
158,-,Tarakan,3.3,117.6,50 N
159,-,Nunukan,4.15,117.666667,50 N
160,Kalimantan Selatan,Pelaihari,-3.8,114.783333,50 S
161,-,Banjarbaru,-3.45,114.833333,50 S
162,-,Martapura,-3.416667,114.85,50 S
163,-,Kotabaru,-3.233333,116.25,50 S
164,-,Marabahan,-2.983333,114.783333,50 S
165,-,Rantau,-2.95,115.15,50 S
166,-,Kandangan,-2.8,115.266667,50 S
167,-,Barabai,-2.6,115.4,50 S
168,-,Amuntai,-2.45,115.25,50 S
169,-,Tanjung,-2.166667,115.4,50 S
170,-,Batulicin,-3.466667,116.016667,50 S
171,-,Paringin,-2.316667,115.483333,50 S
172,Sulawesi Utara,Gorontalo,0.55,123.066667,51 N
173,-,Kotamobagu,0.733333,124.3,51 N
174,-,Bitung,1.45,125.2,51 N
175,-,Tahuna,3.616667,125.483333,51 N
176,Sulawesi Tengah,Banggai,-1.6,123.516667,51 S
177,-,Poso,-1.4,120.766667,51 S
178,-,Luwuk,-0.966667,122.783333,51 S
179,-,Donggala,-0.666667,119.75,50 S
180,-,Mountong,0.466667,121.25,51 N
181,-,Tolitoli,1.066667,120.833333,51 N
182,Sulawesi Selatan,Jene Ponto,-5.7,119.716667,50 S
183,-,Bulukumba,-5.583333,120.183333,51 S
184,-,Bonthain,-5.55,119.95,50 S
185,-,Takalar,-5.483333,119.416667,50 S
186,-,Sungguminasa,-5.216667,119.466667,50 S
187,-,Sinjai,-5.166667,120.233333,51 S
188,-,Maros,-5.016667,119.583333,50 S
189,-,Pangkajene,-4.833333,119.55,50 S
190,-,Watampone,-4.55,120.333333,51 S
191,-,Barru,-4.4,119.633333,50 S
192,-,Watansopeng,-4.316667,119.883333,50 S
193,-,Sengkang,-4.133333,120.016667,51 S
194,-,Pare-pare,-4.016667,119.633333,50 S
195,-,Sidenreng,-3.85,119.816667,50 S
196,-,Pinrang,-3.8,119.666667,50 S
197,-,Enrekang,-3.583333,119.783333,50 S
198,-,Majene,-3.55,118.983333,50 S
199,-,Polewali,-3.433333,119.35,50 S
200,-,Makale,-3.116667,119.866667,50 S
201,-,Palopo,-3.0,120.2,51 S
202,-,Mamuju,-2.666667,118.933333,50 S
203,Sulawesi Tenggara,Baubau,-5.466667,122.616667,51 S
204,-,Raha,-4.85,122.733333,51 S
205,-,Kolaka,-4.066667,121.616667,51 S
206,Bali,Gianyar,-8.55,115.333333,50 S
207,-,Tambanan,-8.55,115.133333,50 S
208,-,Klungkung,-8.55,115.4,50 S
209,-,Bangli,-8.466667,115.366667,50 S
210,-,Amlapura,-8.45,115.6,50 S
211,-,Negara,-8.366667,114.633333,50 S
212,-,Singaraja,-8.116667,115.1,50 S
213,NTB,Labuhanpoh,-8.75,115.883333,50 S
214,-,Praya,-8.716667,116.3,50 S
215,-,Selong,-8.666667,116.55,50 S
216,-,Dompu,-8.55,118.466667,50 S
217,-,Sumbawa Besar,-8.5,117.433333,50 S
218,-,Bima,-8.466667,118.733333,50 S
219,NTT,Soe,-9.866667,124.283333,51 S
220,-,Waingapu,-9.666667,120.266667,51 S
221,-,Waikabubak,-9.633333,119.433333,50 S
222,-,Kefamenanu,-9.45,124.483333,51 S
223,-,Atambua,-9.116667,124.9,51 S
224,-,Ende,-8.85,121.65,51 S
225,-,Bajawa,-8.8,120.966667,51 S
226,-,Maumere,-8.633333,122.233333,51 S
227,-,Ruteng,-8.616667,120.466667,51 S
228,-,Larantuka,-8.35,123.0,51 S
229,-,Kalabahi,-8.233333,124.533333,51 S
230,Maluku,Tual,-5.633333,132.783333,53 S
231,-,Masohi,-3.233333,128.966667,52 S
232,-,Soasiu,0.65,127.45,52 N
233,-,Ternate,0.783333,127.383333,52 N
234,Papua,Merauke,-8.5,140.383333,54 S
235,-,Wamena,-4.016667,138.9,54 S
236,-,Yenggarbun,-0.683333,135.633333,53 S
237,-,Sarmi,-1.866667,138.75,54 S
238,-,Serui,-1.883333,136.25,53 S
239,-,Waigema,-1.833333,129.833333,52 S
240,-,Ransiki,-1.516667,134.183333,53 S
241,-,Biak,-1.2,136.083333,53 S
242,-,Korem,-0.9,136.05,53 S
243,Banten,Pandeglang,-6.333333,106.116667,48 S
244,-,Rangkasbitung,-6.366667,106.283333,48 S
245,-,Tangerang,-6.183333,106.633333,48 S
246,-,Serang,-6.133333,106.166667,48 S
247,Papua Barat,Sorong,-0.883333,131.25,52 S
248,-,Manokwari,-0.866667,134.083333,53 S
249,-,Fak-Fak,-2.933333,132.316667,53 S